all,Bg Long,address,Bg Lat,latitude,longitude
McDonald's,-93.171974,"1168 Silver Lake Rd NW, New Brighton, MN 55112",44.91298,44.91298,-93.171974
McDonald's,-93.161754,"6320 W Lake St, Minneapolis, MN 55416",44.9539,44.9539,-93.161754
McDonald's,-93.302252,"2075 Snelling Ave N, Saint Paul, MN 55113",45.027585,45.027585,-93.302252
McDonald's,-93.197401,"5200 Excelsior Blvd, Minneapolis, MN 55416",44.96532,44.96532,-93.197401
McDonald's,-87.66,"17740 Halsted St, Homewood, IL 60430",41.56,41.56,-87.66
McDonald's,-93.29827,"2213 University Ave W, Saint Paul, MN 55114",44.9986,44.9986,-93.29827
McDonald's,-93.230213,"2929 Hennepin Ave, Minneapolis, MN 55408",44.978074,44.978074,-93.230213
McDonald's,-92.938051,"Minneapolis, MN 55401",44.830823,44.830823,-92.938051
McDonald's,-87.75,"858 Green Bay Rd, Winnetka, IL 60093",42.11,42.11,-87.75
McDonald's,-73.363339,"7355 W Point Douglas Rd S, Cottage Grove, MN 55016",42.193255,42.193255,-73.363339
McDonald's,-73.453889,"26 Sutton Ave, Oxford, MA 01540",41.392592,41.392592,-73.453889
McDonald's,-73.131906,"Berkshire Shopping Ctr, Danbury, CT 06810",41.197266,41.197266,-73.131906
McDonald's,-71.958331,"5065 Main St, Trumbull, CT 06611",42.13906,42.13906,-71.958331
McDonald's,-71.969764,"2 Coogan Blvd, Mystic, CT 06355",42.134705,42.134705,-71.969764
McDonald's,-73.101659,"94 Char, Charlton, MA 01507",41.247825,41.247825,-73.101659
McDonald's,-73.057314,"411 Barnum Avenue Stratford Sq, Stratford, CT 06614",41.225019,41.225019,-73.057314
McDonald's,-73.206135,"561 Long Hill Rd, Groton, CT 06340",41.334161,41.334161,-73.206135
McDonald's,-71.883205,"178 Federal Rd, Brookfield, CT 06804",41.844648,41.844648,-71.883205
McDonald's,-71.885004,"406 Colman St, New London, CT 06320",41.804039,41.804039,-71.885004
McDonald's,-73.089629,"95 River Rd, Lisbon, CT 06351",41.323445,41.323445,-73.089629
McDonald's,-73.089629,"3 Chesterfield Rd, East Lyme, CT 06333",41.323445,41.323445,-73.089629
McDonald's,-72.375724,"Canaan, CT 06018",41.28832,41.28832,-72.375724
McDonald's,-88.03,"2580 Golf Rd, Rolling Meadows, IL 60008",42.08,42.08,-88.03
McDonald's,-72.875951,"538 Norwich New London Tpke, Montville, CT 06353",41.277255,41.277255,-72.875951
McDonald's,-72.811269,"687 Main St, East Haven, CT 06512",41.2817,41.2817,-72.811269
McDonald's,-72.095329,"108 W Main St, Clinton, CT 06413",41.548955,41.548955,-72.095329
McDonald's,-72.901664,"Connecticut Tpke, Madison, CT 06443",41.383965,41.383965,-72.901664
McDonald's,-72.86102,"1460 Memorial Dr, Chicopee, MA 01020",41.387833,41.387833,-72.86102
McDonald's,-72.450279,"50 Holyoke St, Holyoke, MA 01040",42.12122,42.12122,-72.450279
McDonald's,-72.860661,"7 Wellfleet Dr, Ludlow, MA 01095",41.380666,41.380666,-72.860661
McDonald's,-73.119393,"182 N Elm St, Westfield, MA 01085",41.604893,41.604893,-73.119393
McDonald's,-72.562717,"352 Riverdale St, West Springfield, MA 01089",42.126282,42.126282,-72.562717
McDonald's,-73.013709,"45 Thomaston Ave, Waterbury, CT 06702",41.529805,41.529805,-73.013709
McDonald's,-72.623498,"1464 Main St, Willimantic, CT 06226",42.105568,42.105568,-72.623498
McDonald's,-72.983248,"89 W Stafford Rd, Stafford Springs, CT 06076",41.546158,41.546158,-72.983248
McDonald's,-73.034379,"530 Reidville Dr, Waterbury, CT 06705",41.57411,41.57411,-73.034379
McDonald's,-72.594139,"1858 E Main St, Torrington, CT 06790",41.999734,41.999734,-72.594139
McDonald's,-72.77157,"34 Enfield St, Enfield, CT 06082",42.053629,42.053629,-72.77157
McDonald's,-72.594139,"Taylor Rd, Enfield, CT 06082",41.999734,41.999734,-72.594139
McDonald's,-72.826369,"585 Hazard Ave, Enfield, CT 06082",41.51832,41.51832,-72.826369
McDonald's,-72.94619,"80 N Main St Bldg MCD, Bristol, CT 06010",41.674498,41.674498,-72.94619
McDonald's,-88.04,"1039 E 9th St, Lockport, IL 60441",41.59,41.59,-88.04
McDonald's,-72.649839,"321 Main St, Bristol, CT 06010",41.56266,41.56266,-72.649839
McDonald's,-72.829034,"74 Reservoir Rd, Vernon, CT 06066",41.955158,41.955158,-72.829034
McDonald's,-72.94619,"9 Bank St, Granby, CT 06035",41.674498,41.674498,-72.94619
McDonald's,-87.61,"19767 S Halsted St, Chicago Heights, IL 60411",41.51,41.51,-87.61
McDonald's,-72.651639,"Canton, CT 06019",41.59863,41.59863,-72.651639
McDonald's,-72.651639,"195 Ella T Grasso Tpke, Windsor Locks, CT 06096",41.59863,41.59863,-72.651639
McDonald's,-72.448674,"125 Berlin Rd, Cromwell, CT 06416",41.867455,41.867455,-72.448674
McDonald's,-72.887906,"89 Talcottville Rd, Vernon Rockville, CT 06066",41.758893,41.758893,-72.887906
McDonald's,-72.868253,"1799 Farmington Ave, Unionville, CT 06085",41.671118,41.671118,-72.868253
McDonald's,-72.556187,"22 Albany Tpke, Simsbury, CT 06092",41.834203,41.834203,-72.556187
McDonald's,-72.556187,"Route 5 John Fitch Blvd, South Windsor, CT 06074",41.834203,41.834203,-72.556187
McDonald's,-72.644149,"273 Cottage Grove Rd, Bloomfield, CT 06002",41.85076,41.85076,-72.644149
McDonald's,-72.694296,"76 Brainard Rd, Hartford, CT 06114",41.763209,41.763209,-72.694296
McDonald's,-72.694296,"1303 Albany Ave, Hartford, CT 06112",41.763209,41.763209,-72.694296
McDonald's,-72.674069,"172 Washington St, Hartford, CT 06106",41.763325,41.763325,-72.674069
McDonald's,-73.073981,"150 Gold Star Hwy, Groton, CT 06340",41.394897,41.394897,-73.073981
McDonald's,-72.594139,"97 Elm St, Enfield, CT 06082",41.999734,41.999734,-72.594139
McDonald's,-73.072853,"44 S Main St, Winsted, CT 06098",41.920898,41.920898,-73.072853
McDonald's,-94.301052,"119 Crown Hill Rd, Excelsior Springs, MO 64024",39.308475,39.308475,-94.301052
McDonald's,-94.497403,"71 Highway And 58 Hwy, Belton, MO 64012",38.790037,38.790037,-94.497403
McDonald's,-88.24,"188 Fox Valley Ctr, Aurora, IL 60504",41.75,41.75,-88.24
McDonald's,-94.259793,"814 State Highway 7, Blue Springs, MO 64014",39.020209,39.020209,-94.259793
McDonald's,-94.77217,"15920 W 87th Street Pkwy, Shawnee Mission, KS 66219",38.961889,38.961889,-94.77217
McDonald's,-94.682257,"Santa Fe Dr, Overland Park, KS 66212",38.957399,38.957399,-94.682257
McDonald's,-94.71507,"11005 W 75th St, Overland Park, KS 66214",38.96005,38.96005,-94.71507
McDonald's,-94.539371,"5620 E Bannister Rd # E, Kansas City, MO 64137",38.929916,38.929916,-94.539371
